"University Nmae","Mental Health Website","International Student Website"
"Australian Catholic University","https://www.acu.edu.au/about-acu/acu-student-mental-health-strategy-and-implementation-plan","https://www.acu.edu.au/international-students/arriving-and-living-in-australia/international-student-services"
"Charles Darwin University","https://www.cdu.edu.au/current-students/life-wellbeing/counselling","https://www.cdu.edu.au/international/current-international-students"
"CQUniversity","https://www.cqu.edu.au/cquninews/stories/general-category/2018/mental-health-support-helps-tarah-graduate","https://www.cqu.edu.au/international-students"
"Deakin University","https://www.deakin.edu.au/about-deakin/vision-and-values/student-mental-health-and-wellbeing-strategy","https://www.deakin.edu.au/international-students"
"Federation University Australia","https://federation.edu.au/news/articles/lets-stop-self-isolating-when-we-no-longer-have-to-self-isolate","https://federation.edu.au/international"
"La Trobe University","https://www.latrobe.edu.au/students/support/wellbeing/services/counselling/about#:~:text=We%20offer%20free%20and%20confidential,any%20time%20you%20need%20help.","https://www.latrobe.edu.au/"
"Monash University","https://www.monash.edu/students/support/health/mental-health/programs/mental-health-first-aid","https://www.monash.edu/international"
"RMIT University","https://www.rmit.edu.au/students/support-services/health-safety-wellbeing/mental-health-counselling#:~:text=RMIT%20Counselling%20Service%20provides%20free,including%20anxiety%2C%20depression%20and%20stress.","https://www.rmit.edu.au/study-with-us/international-students"
"Swinburne University of Technology","https://www.swinburne.edu.au/research/centres-groups-clinics/centre-for-mental-health/","https://www.swinburne.edu.au/life-at-swinburne/international-students/"
"Torrens University Australia","https://library.torrens.edu.au/education/mentalhealth","https://www.torrens.edu.au/studying-with-us/international-students"
"University of Divinity","https://divinity.edu.au/health-and-wellbeing/","https://divinity.edu.au/study/overseas-students/"
"University of Melbourne","https://services.unimelb.edu.au/counsel/home","https://study.unimelb.edu.au/discover/international-students"
"Victoria University","https://www.vu.edu.au/current-students/campus-life/advice-support/safer-community/concerning-threatening-or-inappropriate-behaviour/mental-health-concerns","https://www.vu.edu.au/study-at-vu/international-students"
